"Gender","Age","Education","Income","Income2","Occupation","State","Relationship.Status","Obligation","Obligation2","NEP","Vacation.Behaviour","rest and relax","luxury / be spoilt","do sports","excitement, a challenge","not exceed planned budget","realise creativity","fun and entertainment","good company","health and beauty","free-and-easy-going","entertainment facilities","not care about prices","life style of the local people","intense experience of nature","cosiness/familiar atmosphere","maintain unspoilt surroundings","everything organised","unspoilt nature/natural landscape","cultural offers","change of surroundings"
"Male",47,7,"more than $240,001",">120k","manager or administrator","NSW","living with a partner",2.7,"Q1",2.73333333333333,3.10344827586207,"no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no"
"Female",26,1,"$60,001 to $90,000","60-90k","home-duties","VIC","married",3.86666666666667,"Q3",3.73333333333333,2.63636363636364,"yes","no","no","no","yes","no","yes","no","no","yes","yes","no","no","yes","no","no","no","no","no","yes"
"Male",50,3,"$60,001 to $90,000","60-90k","small business owner","VIC","single",3.4,"Q2",3.06666666666667,2.9375,"yes","yes","no","no","no","no","yes","no","no","yes","yes","no","yes","no","no","no","no","no","yes","yes"
"Male",31,3,"$120,001 to $150,000",">120k","manager or administrator","ACT","living with a partner",2.96666666666667,"Q1",4.2,2.73333333333333,"yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no"
"Female",60,1,"Less than $30,000","<30k","retired","NSW","married",3.53333333333333,"Q2",3.06666666666667,3.41176470588235,"yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Female",36,3,"$90,001 to $120,000","90-120k",NA,"QLD","married",3.2,"Q1",3.13333333333333,2.26086956521739,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Male",22,7,NA,NA,"professional","NSW","single",3.66666666666667,"Q2",4,3.04,"yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Male",59,7,"$150,001 to $180,000",">120k","small business owner","VIC","married",3.53333333333333,"Q2",2.6,3.2962962962963,"yes","no","no","yes","no","no","no","yes","no","no","no","yes","yes","yes","no","no","no","no","yes","yes"
"Female",31,7,"$210,001 to $240,000",">120k","professional","NSW","married",2.53333333333333,"Q1",2.73333333333333,2.1,"yes","yes","no","no","no","no","yes","no","no","yes","no","yes","yes","no","no","yes","no","no","yes","yes"
"Male",37,7,"$30,001 to $60,000","30-60k","labourer","QLD","married",3.33333333333333,"Q1",2.46666666666667,2.26666666666667,"yes","no","no","yes","yes","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no"
"Female",42,1,"$30,001 to $60,000","30-60k","home-duties","WA","married",3.66666666666667,"Q2",3.6,3,"yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no"
"Male",33,7,"$60,001 to $90,000","60-90k","professional","NSW","married",4.36666666666667,"Q4",3.13333333333333,3.66666666666667,"yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no"
"Male",39,4,"$30,001 to $60,000","30-60k","manager or administrator","VIC","married",3.43333333333333,"Q2",4.2,2.62962962962963,"yes","yes","no","no","yes","no","yes","no","no","yes","no","no","no","no","yes","yes","no","yes","no","yes"
"Male",31,7,"$30,001 to $60,000","30-60k","Clerical or service worker","SA","separated or divorced",4.6,"Q4",4.13333333333333,4.1,"yes","no","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","no","yes","no","yes"
"Female",59,2,"$30,001 to $60,000","30-60k",NA,"NSW","married",3.43333333333333,"Q2",2.13333333333333,2.45,"no","no","no","yes","yes","no","yes","no","no","yes","yes","yes","yes","no","no","no","yes","no","yes","yes"
"Male",57,7,"$60,001 to $90,000","60-90k","manager or administrator","NSW","separated or divorced",4.96666666666667,"Q4",4.66666666666667,2.5,"yes","no","no","no","yes","no","no","no","no","yes","no","no","yes","no","yes","no","no","yes","yes","no"
"Male",41,6,"$30,001 to $60,000","30-60k","tradesperson","QLD","single",3.43333333333333,"Q2",4.2,2.03333333333333,"yes","no","no","no","no","no","no","no","no","yes","no","yes","no","no","yes","no","no","no","no","no"
"Male",43,6,"$30,001 to $60,000","30-60k","manager or administrator","WA","married",3.4,"Q2",3.8,3,"yes","no","no","no","yes","no","yes","yes","no","no","no","no","no","no","yes","yes","no","no","no","yes"
"Male",33,3,"$60,001 to $90,000","60-90k","labourer","SA","single",3.56666666666667,"Q2",3.93333333333333,3.24,"yes","no","no","yes","yes","no","yes","yes","no","yes","no","no","yes","no","no","no","yes","no","no","yes"
"Male",23,6,"$120,001 to $150,000",">120k","sales","VIC","single",3.73333333333333,"Q2",4,3,"yes","no","yes","no","yes","no","yes","yes","no","yes","no","no","yes","yes","no","no","no","no","yes","no"
"Male",53,6,"$90,001 to $120,000","90-120k","Clerical or service worker","VIC","married",3.93333333333333,"Q3",4.4,2.66666666666667,"yes","no","no","no","no","no","no","no","no","yes","yes","yes","yes","no","no","no","no","no","yes","yes"
"Female",65,3,"$30,001 to $60,000","30-60k","retired","NSW","married",4.43333333333333,"Q4",4.13333333333333,3.63636363636364,"yes","no","yes","no","yes","no","yes","no","no","no","yes","no","no","yes","no","yes","no","yes","no","yes"
"Male",48,3,"$30,001 to $60,000","30-60k","home-duties","VIC","married",3.33333333333333,"Q1",3.33333333333333,1.79310344827586,"yes","yes","no","no","yes","no","yes","no","no","yes","yes","no","yes","yes","yes","no","yes","yes","no","yes"
"Female",63,3,"$30,001 to $60,000","30-60k","retired","VIC","married",4.43333333333333,"Q4",3.66666666666667,3.72222222222222,"yes","no","no","no","yes","no","no","no","no","yes","no","yes","yes","no","no","no","yes","no","no","no"
"Female",36,7,"$60,001 to $90,000","60-90k","professional","VIC","married",4.06666666666667,"Q3",4.13333333333333,2.18518518518519,"yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no"
"Female",51,8,"$90,001 to $120,000","90-120k","small business owner","WA","married",3.96666666666667,"Q3",3.6,3.53846153846154,"yes","yes","no","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","no","no","yes","yes"
"Male",58,7,"$180,001 to $210,000",">120k","professional","NSW","married",4.7,"Q4",3.2,3.3,"yes","yes","no","no","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","yes"
"Female",53,4,"Less than $30,000","<30k","Clerical or service worker","QLD","separated or divorced",4.26666666666667,"Q4",4.46666666666667,3.61904761904762,"yes","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no"
"Male",66,4,"$60,001 to $90,000","60-90k","retired","WA","married",3.66666666666667,"Q2",2.66666666666667,3.03703703703704,"yes","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","yes","no","yes","yes","no"
"Male",74,4,"$30,001 to $60,000","30-60k","tradesperson","SA","married",2.93333333333333,"Q1",3.46666666666667,1.9,"yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Female",38,3,"$150,001 to $180,000",">120k","professional","NSW","living with a partner",4.36666666666667,"Q4",4,2.96666666666667,"yes","yes","no","yes","yes","yes","yes","yes","yes","yes","no","no","no","yes","yes","yes","no","yes","no","no"
"Male",34,7,"$60,001 to $90,000","60-90k","professional","VIC","married",4.73333333333333,"Q4",3.46666666666667,3.77272727272727,"yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","no","no","yes","yes","yes","yes","yes","no","yes"
"Male",58,4,"$90,001 to $120,000","90-120k","manager or administrator","NSW","married",3,"Q1",3.13333333333333,2.96666666666667,"yes","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no"
"Female",40,4,"$30,001 to $60,000","30-60k","small business owner","QLD","married",3.2,"Q1",3.93333333333333,2.23333333333333,"yes","no","no","no","yes","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","yes"
"Female",55,4,NA,NA,NA,"NSW","widowed",3.86666666666667,"Q3",4.2,4.23529411764706,"yes","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","no","no","no","no","no"
"Male",30,4,"$60,001 to $90,000","60-90k","manager or administrator","QLD","living with a partner",4.16666666666667,"Q3",3.8,2.66666666666667,"yes","no","yes","yes","yes","no","yes","no","no","yes","no","no","no","no","no","no","yes","no","no","no"
"Male",42,2,"$30,001 to $60,000","30-60k","professional","NSW","married",3.36666666666667,"Q1",4.13333333333333,NA,"yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Male",58,3,"$30,001 to $60,000","30-60k","professional","NSW","single",4.46666666666667,"Q4",4.53333333333333,3.39130434782609,"yes","no","no","yes","yes","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes","yes","yes"
"Male",35,3,"$60,001 to $90,000","60-90k","manager or administrator","QLD","single",4.26666666666667,"Q4",3.46666666666667,2.66666666666667,"yes","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Female",58,1,"$90,001 to $120,000","90-120k","Clerical or service worker","QLD","married",4.33333333333333,"Q4",4,4.1,"yes","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","yes","no","no"
"Female",70,2,"$60,001 to $90,000","60-90k","professional","VIC","living with a partner",3.93333333333333,"Q3",3.06666666666667,4.5,"yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no"
"Female",60,7,"$60,001 to $90,000","60-90k","manager or administrator","QLD","married",4.53333333333333,"Q4",4.2,4.71428571428571,"yes","no","no","no","yes","no","yes","yes","no","yes","no","no","yes","yes","no","yes","no","yes","yes","yes"
"Female",32,7,"$120,001 to $150,000",">120k","professional","ACT","single",4.26666666666667,"Q4",3.73333333333333,3.04545454545455,"yes","no","no","no","yes","no","yes","yes","no","yes","no","no","yes","yes","no","yes","no","yes","yes","yes"
"Male",20,1,"$180,001 to $210,000",">120k","Clerical or service worker","QLD","single",4.5,"Q4",4.13333333333333,3.6,"yes","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","no","no","yes","yes","no","yes","no","no"
"Male",22,6,"$60,001 to $90,000","60-90k","sales","NSW","single",2.9,"Q1",3.66666666666667,2.86363636363636,"yes","yes","yes","yes","yes","no","yes","yes","no","yes","yes","no","no","no","no","yes","yes","yes","no","yes"
"Male",56,7,"$90,001 to $120,000","90-120k","sales","VIC","married",4.1,"Q3",2,3.69230769230769,"yes","no","no","no","no","no","yes","yes","no","yes","no","yes","yes","no","no","no","no","no","yes","yes"
"Male",62,6,"$90,001 to $120,000","90-120k","tradesperson","VIC","married",4,"Q3",3.2,2.96666666666667,"yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Female",55,2,"$60,001 to $90,000","60-90k","Clerical or service worker","NSW","married",3.43333333333333,"Q2",3.73333333333333,2.10344827586207,"no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","yes"
"Male",61,8,"$90,001 to $120,000","90-120k","professional","VIC","married",2.53333333333333,"Q1",3.8,2.68,"yes","yes","no","yes","yes","yes","no","yes","no","yes","no","no","yes","no","yes","yes","no","yes","yes","yes"
"Male",56,7,"$180,001 to $210,000",">120k","manager or administrator","Tas","married",4.16666666666667,"Q3",2.8,2.76666666666667,"yes","yes","no","no","no","no","yes","no","no","yes","no","yes","no","no","no","no","no","yes","no","yes"
"Female",42,6,"$30,001 to $60,000","30-60k","Clerical or service worker","NSW","single",3.16666666666667,"Q1",4.4,2.35714285714286,"yes","no","no","no","yes","no","no","yes","yes","yes","no","no","yes","yes","yes","no","no","yes","yes","yes"
"Male",38,8,"Less than $30,000","<30k","unemployed","VIC","married",4.36666666666667,"Q4",3.86666666666667,3,"no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","yes","no"
"Male",40,7,"$90,001 to $120,000","90-120k","manager or administrator","NSW","separated or divorced",2.23333333333333,"Q1",2.46666666666667,1.92592592592593,"yes","no","no","yes","no","no","yes","no","no","yes","no","yes","yes","no","no","yes","no","no","no","yes"
"Male",41,6,"$30,001 to $60,000","30-60k","professional","NSW","married",3.96666666666667,"Q3",4.53333333333333,2.92,"yes","no","no","yes","no","yes","no","yes","yes","yes","no","no","yes","yes","no","yes","no","yes","no","yes"
"Female",23,3,"$120,001 to $150,000",">120k","manager or administrator","VIC","single",4.06666666666667,"Q3",3.86666666666667,2.65384615384615,"yes","no","no","yes","yes","no","yes","yes","no","yes","no","no","yes","no","no","no","no","no","yes","yes"
"Female",61,3,"$150,001 to $180,000",">120k","professional","VIC","living with a partner",3.16666666666667,"Q1",3.26666666666667,3.8,"yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","yes"
"Female",44,7,"$90,001 to $120,000","90-120k","professional","QLD","married",1.9,"Q1",4.06666666666667,3.53333333333333,"yes","no","no","no","no","no","yes","yes","no","no","no","no","yes","no","no","no","no","no","yes","no"
"Female",34,3,"$30,001 to $60,000","30-60k","home-duties","NSW","living with a partner",4.36666666666667,"Q4",3.73333333333333,3.60869565217391,"yes","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","yes","no","no","no","no","no"
"Female",28,7,"$30,001 to $60,000","30-60k","manager or administrator","QLD","single",2.6,"Q1",2.66666666666667,1.91304347826087,"yes","no","no","no","no","no","yes","no","no","no","no","yes","yes","no","no","no","yes","no","no","no"
"Male",55,8,"$60,001 to $90,000","60-90k","manager or administrator","VIC","single",4,"Q3",3.6,2.7,"yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no"
"Female",37,2,"$30,001 to $60,000","30-60k","home-duties","QLD","living with a partner",3.1,"Q1",3.66666666666667,3.04761904761905,"yes","no","no","no","yes","no","yes","no","no","yes","no","no","no","yes","yes","no","no","yes","no","no"
"Female",58,2,"$60,001 to $90,000","60-90k",NA,"NSW","married",3.9,"Q3",3.4,4,"yes","no","no","no","no","no","yes","no","no","no","yes","yes","yes","yes","no","no","no","no","no","no"
"Male",22,3,"$60,001 to $90,000","60-90k","professional","QLD","living with a partner",4.33333333333333,"Q4",4.26666666666667,2.7,"yes","yes","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","yes"
"Male",43,3,"$30,001 to $60,000","30-60k","professional","NSW","married",4.13333333333333,"Q3",3.46666666666667,2.96666666666667,"yes","no","no","yes","yes","no","yes","no","no","no","yes","no","yes","no","yes","yes","no","yes","no","yes"
"Male",20,3,"$120,001 to $150,000",">120k","manager or administrator","NSW","single",4.3,"Q4",4.4,3.8125,"yes","no","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","no","no"
"Female",61,3,"$30,001 to $60,000","30-60k","manager or administrator","NSW","single",3.26666666666667,"Q1",4.33333333333333,2.76,"yes","no","no","no","yes","no","no","no","yes","yes","no","no","no","no","yes","no","no","no","no","yes"
"Male",56,8,"$30,001 to $60,000","30-60k","manager or administrator","NSW","separated or divorced",2.8,"Q1",2.86666666666667,2.36666666666667,"yes","no","no","no","no","no","yes","yes","no","yes","no","yes","no","no","no","no","no","no","no","yes"
"Female",29,4,"$30,001 to $60,000","30-60k","home-duties","QLD","living with a partner",3.33333333333333,"Q1",3.33333333333333,2.61538461538462,"yes","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","yes"
"Male",58,8,"$180,001 to $210,000",">120k","professional","VIC","single",2.73333333333333,"Q1",3.53333333333333,1.83333333333333,"yes","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","yes","yes"
"Male",28,7,"$60,001 to $90,000","60-90k","sales","NSW","living with a partner",3.66666666666667,"Q2",3.6,2.85,"yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","no","yes","yes","no","yes","no","yes","no","yes"
"Male",25,8,"$120,001 to $150,000",">120k","manager or administrator","NSW","single",3.56666666666667,"Q2",3.2,3.125,"yes","no","yes","yes","yes","no","yes","yes","no","yes","no","no","yes","no","no","yes","no","no","yes","yes"
"Male",59,2,"Less than $30,000","<30k","unemployed","NSW","married",4.36666666666667,"Q4",3.4,3.1,"yes","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","yes","yes","no","yes"
"Male",33,8,"$30,001 to $60,000","30-60k","manager or administrator","Tas","single",4.03333333333333,"Q3",3.86666666666667,2.33333333333333,"yes","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no"
"Male",51,3,"$150,001 to $180,000",">120k","professional","NSW","married",3.03333333333333,"Q1",3.8,2.1,"no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","yes"
"Female",26,1,"Less than $30,000","<30k","sales","VIC","separated or divorced",4.4,"Q4",3.33333333333333,4.07142857142857,"yes","no","no","yes","yes","no","yes","yes","no","yes","yes","no","yes","yes","no","yes","no","yes","no","yes"
"Male",59,NA,NA,NA,NA,"NSW","widowed",3.36666666666667,"Q1",4.6,2.5,"yes","no","no","no","yes","no","no","no","yes","yes","no","no","no","no","yes","yes","no","yes","no","no"
"Female",25,3,"$60,001 to $90,000","60-90k","manager or administrator","NT","single",2.7,"Q1",3.6,1.8,"yes","yes","no","no","no","no","yes","no","no","yes","yes","yes","no","no","no","no","no","no","no","no"
"Male",33,6,"$60,001 to $90,000","60-90k","unemployed","VIC","single",3.96666666666667,"Q3",4,NA,"yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Male",35,7,"$60,001 to $90,000","60-90k","professional","QLD","single",3.7,"Q2",3.8,3.26666666666667,"yes","no","yes","yes","no","no","yes","yes","no","yes","no","no","yes","no","no","no","no","no","yes","yes"
"Male",28,7,"$60,001 to $90,000","60-90k","sales","WA","single",3.16666666666667,"Q1",3.4,2.14814814814815,"yes","no","no","yes","no","no","yes","no","no","yes","no","yes","no","no","no","no","no","no","no","no"
"Female",21,7,"$60,001 to $90,000","60-90k","Clerical or service worker","QLD","living with a partner",4.16666666666667,"Q3",3.6,2.17857142857143,"yes","yes","no","no","no","no","yes","yes","yes","yes","no","no","no","no","no","no","no","no","no","yes"
"Female",57,8,"$210,001 to $240,000",">120k","manager or administrator","NSW","married",3.96666666666667,"Q3",3.66666666666667,3.2962962962963,"yes","yes","no","no","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","yes","no","yes"
"Male",35,3,NA,NA,"manager or administrator","SA","married",2.9,"Q1",3,2.26666666666667,"no","no","no","no","no","no","yes","no","no","yes","no","yes","no","no","no","no","yes","no","no","yes"
"Male",32,4,"$60,001 to $90,000","60-90k","tradesperson","VIC","married",3.33333333333333,"Q1",4.26666666666667,2.96551724137931,"yes","no","no","yes","no","no","yes","yes","no","yes","no","no","yes","yes","no","yes","no","yes","no","yes"
"Female",61,1,"Less than $30,000","<30k",NA,"VIC","widowed",4.16666666666667,"Q3",3.66666666666667,3,"yes","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Female",19,3,"$90,001 to $120,000","90-120k","Clerical or service worker","VIC","single",1.36666666666667,"Q1",2.4,1.75,"yes","no","no","yes","yes","no","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","yes"
"Female",43,1,"Less than $30,000","<30k","Clerical or service worker","VIC","separated or divorced",3.26666666666667,"Q1",3.53333333333333,3,"no","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","yes"
"Male",38,8,"$90,001 to $120,000","90-120k","manager or administrator","NSW","married",3.7,"Q2",3.8,2.47826086956522,"yes","no","yes","no","yes","no","yes","yes","no","yes","no","no","yes","no","no","no","yes","yes","no","yes"
"Female",59,2,"$30,001 to $60,000","30-60k","Clerical or service worker","NSW","married",3.7,"Q2",3.93333333333333,3.26666666666667,"yes","no","no","no","yes","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","yes"
"Male",66,7,"$60,001 to $90,000","60-90k","small business owner","NSW","separated or divorced",3.7,"Q2",3.33333333333333,2.39285714285714,"yes","no","no","no","yes","no","yes","no","no","yes","no","no","yes","yes","no","yes","no","yes","no","yes"
"Female",55,6,"$60,001 to $90,000","60-90k","manager or administrator","WA","married",3.7,"Q2",3,3.20833333333333,"yes","no","no","yes","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","yes"
"Male",19,1,"$90,001 to $120,000","90-120k","unemployed","WA","single",3.1,"Q1",4.06666666666667,2.69230769230769,"yes","yes","no","no","yes","no","yes","yes","no","yes","no","no","yes","no","yes","yes","yes","no","yes","yes"
"Male",60,7,"$30,001 to $60,000","30-60k","retired","WA","married",3.26666666666667,"Q1",3.8,3.16666666666667,"yes","no","no","yes","yes","no","yes","yes","yes","no","no","no","yes","no","no","yes","no","yes","no","yes"
"Female",26,6,"$30,001 to $60,000","30-60k","home-duties","SA","married",3.93333333333333,"Q3",3.8,3.36363636363636,"yes","no","no","no","yes","no","yes","yes","no","no","no","no","no","no","yes","no","yes","no","no","yes"
"Male",55,8,"$90,001 to $120,000","90-120k","manager or administrator","VIC","living with a partner",4.43333333333333,"Q4",4.13333333333333,2.7,"yes","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","yes","yes"
"Male",56,7,"$60,001 to $90,000","60-90k","Clerical or service worker","VIC","married",4.3,"Q4",3.26666666666667,2.5,"yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes"
"Female",61,6,"$30,001 to $60,000","30-60k","Clerical or service worker","VIC","married",3.43333333333333,"Q2",3.13333333333333,2.93103448275862,"yes","no","no","no","yes","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no"
"Male",44,6,"more than $240,001",">120k","home-duties","QLD","married",3.3,"Q1",3.33333333333333,2.63333333333333,"yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Female",31,1,"$30,001 to $60,000","30-60k","home-duties","QLD","married",3.36666666666667,"Q1",3.33333333333333,2.03448275862069,"yes","no","no","no","yes","no","yes","yes","no","yes","no","no","no","yes","no","no","no","no","no","no"
"Female",42,2,NA,NA,"professional","VIC","single",3.63333333333333,"Q2",4.06666666666667,3.875,"yes","no","no","yes","no","no","yes","no","no","no","yes","yes","yes","yes","no","yes","no","no","no","yes"
"Male",63,1,"$30,001 to $60,000","30-60k","retired","NSW","married",3.46666666666667,"Q2",4.46666666666667,3.03333333333333,"yes","no","no","no","no","no","no","no","yes","yes","no","no","no","yes","yes","no","yes","yes","yes","yes"
"Female",34,7,"$90,001 to $120,000","90-120k","professional","WA","married",3.4,"Q2",3.6,2.73076923076923,"yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Female",31,3,"$60,001 to $90,000","60-90k","small business owner","NSW","married",3.9,"Q3",4.33333333333333,3.07142857142857,"yes","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no"
"Male",46,3,"$30,001 to $60,000","30-60k","small business owner","NSW","living with a partner",4.26666666666667,"Q4",4.2,3.125,"yes","yes","no","no","yes","no","yes","yes","no","yes","yes","yes","no","no","no","no","no","no","no","yes"
"Female",21,3,"$60,001 to $90,000","60-90k","unemployed","VIC","single",3.93333333333333,"Q3",4,2.56,"yes","no","no","no","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","yes"
"Female",30,3,"Less than $30,000","<30k","unemployed","WA","living with a partner",4.03333333333333,"Q3",3.93333333333333,3.23809523809524,"yes","no","yes","yes","yes","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","no","no","yes"
"Male",39,1,"$30,001 to $60,000","30-60k","labourer","VIC","married",4.36666666666667,"Q4",3.93333333333333,3.94444444444444,"yes","no","no","yes","yes","no","yes","yes","no","no","no","no","yes","no","no","yes","no","no","no","yes"
"Female",19,2,"$30,001 to $60,000","30-60k","sales","QLD","single",3.96666666666667,"Q3",3.73333333333333,3.03846153846154,"yes","no","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Female",23,7,NA,NA,"Clerical or service worker","NSW","single",4.03333333333333,"Q3",3.46666666666667,3.43333333333333,"yes","no","no","yes","yes","no","no","yes","yes","no","no","no","no","yes","no","yes","no","no","no","yes"
"Male",46,8,"$90,001 to $120,000","90-120k","professional","SA","married",3.06666666666667,"Q1",4.73333333333333,3.63636363636364,"yes","yes","no","yes","yes","no","yes","yes","no","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes"
"Female",39,4,"$120,001 to $150,000",">120k","sales","WA","married",2.26666666666667,"Q1",2.93333333333333,3.5,"yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","no","no","no","no","no","no","no","no","yes"
"Male",39,4,"$150,001 to $180,000",">120k","manager or administrator","NSW","single",4.56666666666667,"Q4",4.93333333333333,3.42857142857143,"yes","no","no","yes","no","no","no","no","no","yes","no","yes","yes","yes","no","yes","no","no","yes","no"
"Female",19,NA,NA,NA,NA,"VIC","single",3.4,"Q2",3.13333333333333,2.375,"yes","no","no","no","yes","no","yes","no","no","yes","yes","no","no","no","no","no","yes","no","yes","no"
"Female",59,8,"$30,001 to $60,000","30-60k","manager or administrator","SA","separated or divorced",3.1,"Q1",3.6,1.7,"no","no","no","yes","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","yes"
"Male",76,3,"$60,001 to $90,000","60-90k","retired","VIC","married",3.6,"Q2",4.13333333333333,1.9,"yes","no","no","no","no","no","yes","yes","no","no","no","no","no","no","yes","no","no","no","no","yes"
"Female",36,3,"$120,001 to $150,000",">120k","Clerical or service worker","QLD","married",4.43333333333333,"Q4",3.53333333333333,2.36666666666667,"yes","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Female",55,2,"$30,001 to $60,000","30-60k","retired","SA","married",3.63333333333333,"Q2",3.66666666666667,2.8125,"no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","yes","yes"
"Male",28,8,"$60,001 to $90,000","60-90k","professional","VIC","married",4.83333333333333,"Q4",4.2,3.20689655172414,"yes","no","no","yes","no","no","yes","yes","yes","no","yes","no","no","no","no","no","no","yes","no","yes"
"Female",33,7,NA,NA,"sales","VIC","single",4.4,"Q4",4.46666666666667,3.57142857142857,"no","no","no","yes","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","yes"
"Male",59,7,"$120,001 to $150,000",">120k",NA,"QLD","married",3.73333333333333,"Q2",3.2,2.34615384615385,"yes","no","no","no","yes","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","yes","yes"
"Male",41,7,"$150,001 to $180,000",">120k","professional","QLD","married",3.56666666666667,"Q2",2.93333333333333,2.66666666666667,"yes","yes","yes","yes","no","no","yes","no","no","no","yes","yes","no","no","yes","yes","no","yes","no","yes"
"Male",62,8,"$90,001 to $120,000","90-120k","professional","QLD","married",3.2,"Q1",3.2,2.31034482758621,"yes","no","no","yes","yes","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","yes"
"Male",70,3,"$30,001 to $60,000","30-60k","retired","VIC","widowed",3.7,"Q2",3.53333333333333,3.77777777777778,"no","no","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","yes","no","no"
"Male",64,1,"$30,001 to $60,000","30-60k","manager or administrator","QLD","living with a partner",4.76666666666667,"Q4",4.93333333333333,2.03333333333333,"yes","no","no","no","no","yes","yes","yes","no","yes","no","no","yes","yes","no","yes","no","yes","yes","yes"
"Female",30,7,"$120,001 to $150,000",">120k","manager or administrator","WA","married",4.6,"Q4",4.4,3.85,"yes","yes","no","yes","yes","no","yes","no","no","yes","no","yes","yes","yes","no","yes","no","yes","yes","yes"
"Male",48,2,"$60,001 to $90,000","60-90k","professional","VIC","married",3.96666666666667,"Q3",4.13333333333333,3.16666666666667,"yes","no","no","yes","yes","no","yes","yes","no","no","no","yes","yes","no","no","no","no","no","no","yes"
